"","control_A","control_B","ph5h_A","ph5h_B","LPS_A","LPS_B","ph5hLPS_A","ph5hLPS_B","X1","X2","X3","X4"
"6030445D17Rik",0.149361,0,0.0597613,0.112153,0,0,0,0,0,0,0,0
"6030452D12Rik",0,0,0,0,0,0,0,0,0,0,0,0
"6030458C11Rik",10.1751,10.5463,3.89336,4.91813,7.18564,6.72026,2.93824,3.22796,0,0,0,0
"6030468B19Rik",0.171041,0.198269,0.102724,0.385916,0.0972681,0.10133,0.191474,0,0,0,0,0
"6030469F06Rik",0,0,0,0,0,0,0,0,0,0,0,0
"6030498E09Rik",0,0,0,0,0,0,0,0,0,0,0,0
"6330409D20Rik",0.867155,1.48333,7.876383,9.60045,0.277293,0.0962914,3.36644,5.12564,0,0,0,0
"6330549D23Rik",0.5381274,0.631045,0.109514,0.32927,0.2086549,0.32441521,0.10281800295623,0.2613652,0,0,0,0
"6430548M08Rik",22.125087,22.8210280062138,7.1577615,6.88767,2.49400098,2.53244530122934,4.9096243,4.770964,0,0,0,0
"6430550D23Rik",1.06306,1.29566008804,0.7363666,0.3944853,0.3226707,0.7780013,0.3164027,0.4706108,0,0,0,0
"6430571L13Rik",0.250274,0.285833,0,0.0360579,0.0364996,0.304114,0.182616,0.122547,0,0,0,0
"6430628N08Rik",0,0,0,0,0,0,0,0,0,0,0,0
"6720489N17Rik",2.854231,3.982467,0.320834,1.606744,0.544365,0.570568,0.212175,0.58107,0,0,0,0
"6820408C15Rik",0,0,0,0,0.0681965,0,0,0,0,0,0,0
"6820431F20Rik",48.841715,47.055145,46.5506,54.944041,35.104669,34.570883,42.663743,51.781,0,0,0,0
"7420426K07Rik",0,0,0,0,0,0,0,0,0,0,0,0
"7530416G11Rik",0.159746,0.0903576,0.188694,0.534453,0.265768,0.188024,0.264786,0.224145,0,0,0,0
"7530428D23Rik",0.161511,0.148304,0,0,0.29193,0,0.143528,0,0,0,0,0
"8030462N17Rik",6.64689,6.99529,10.4217,11.3113,6.94218,5.78081,10.129,10.0523,0,0,0,0
"8030474K03Rik",0,0,0,0.197507,0,0.156113,0,0,0,0,0,0
"9030025P20Rik",10.6112,7.50849,9.2405,9.59286,8.02656,7.49316,6.19382,9.09332,0,0,0,0
"9030612E09Rik",0,0,0.110323,0,0,0,0,0,0,0,0,0
"9030619P08Rik",0,0,0,0,0,0,0,0,0,0,0,0
"9030624G23Rik",0.326189,0.235431,0.0983854,0.140174,0.0528148,0.101487,0.206124,0.155746,0,0,0,0
"9130008F23Rik",0.859671,0.864487,0.0937898,0.0439911,0.756361,0.880741,0.394538,0.522718,0,0,0,0
"9130019O22Rik",3.76003,4.45478,0.576557,0.643565,1.938738,2.426989,0.856717,0.643712,0,0,0,0
"9130023H24Rik",2.97651,2.75301,0.439042,0.733887,1.49441,1.48486,0.483822,0.614065,0,0,0,0
"9130208D14Rik",0,0.0521978,0.0149566,0,0.193499,0.0826285,0,0,0,0,0,0
"9130213A22Rik",0.109843,0.127704,0.395586,0.123748,0.125021,0,0.061569,0.262118,0,0,0,0
"9130230L23Rik",1.1862735,0.253069,1.5119118,0.9162958,1.3374603,0.6583887,0.9366456,2.0640835,0,0,0,0
"9130401M01Rik",28.106846,25.3448875,25.743437,27.023742,34.1484694,25.726082,21.511882,24.762548,0,0,0,0
"9130409I23Rik",0,0.0522854,0,0,0.0511495,0,0,0.0429201,0,0,0,0
